TargetTableName,TargetFieldName,Required,InputColumnNumber,MappingLogic,SampleValue
GLTransactionInterface,FinanceEnterpriseGroup,Y,,Hardcode '1',1
GLTransactionInterface,GLTransactionInterface.RunGroup,Y,1,,GLGrp001
GLTransactionInterface,GLTransactionInterface.SequenceNumber,Y,,Increment By 1,1
GLTransactionInterface,AccountingEntity,Y,,RemoveLeadingZeroes(Column3),100
GLTransactionInterface,Status,N,,Hardcode '0',0
GLTransactionInterface,ToAccountingEntity,Y,3,,100
GLTransactionInterface,AccountCode,Y,,"Left(Column5,6)",102002
GLTransactionInterface,GeneralLedgerEvent,N,,If Column6 == '' Then 'TC' Else Column6,TC
GLTransactionInterface,JournalCode,N,,Trim(Column16),PROG01
GLTransactionInterface,TransactionDate,N,,"DateReformat(Column18,'MMDDYYYY','YYYYMMDD')",20250101
GLTransactionInterface,Reference,N,8,,REF001
GLTransactionInterface,Description,N,9,,Test Transaction
GLTransactionInterface,CurrencyCode,N,10,,USD
GLTransactionInterface,UnitsAmount,N,,'0',0
GLTransactionInterface,TransactionAmount,N,12,,100
GLTransactionInterface,System,N,,If Column15 == '' Then 'GL' Else Column15,GL
GLTransactionInterface,AutoReverse,N,,If Column17 == '' Then 'N' Else Column17,N
GLTransactionInterface,PostingDate,Y,,"DateReformat(Column18,'MMDDYYYY','YYYYMMDD')",20251025
GLTransactionInterface,Project,N,19,,PROJ001
GLTransactionInterface,FinanceDimension1,N,,"Right(Column4,3)",101
GLTransactionInterface,FinanceDimension3,N,20,,CAT01
GLTransactionInterface,DocumentNumber,N,21,,DOC001
