Field Name,Start,End,Length,Required,Pad Character,Justify,Default Value,Mapping Logic,Data Type,Decimal Places,Min Value,Max Value,Min Length,Max Length,Pattern,Valid Values,Description
Company,1,4,4,Y,0,Right,,RemoveLeadingZeroes(Column1),Numeric,0,1,9999,,,,,"Company number (1-9999)"
Amount,5,19,15,Y,0,Right,0,,Numeric,2,0,999999999.99,,,,,"Dollar amount with 2 implied decimals"
Transaction Date,20,27,8,Y,0,Left,,DateReformat(Column3,'MMDDYYYY','YYYYMMDD'),Date,0,,,8,8,^\d{8}$,,"Transaction date YYYYMMDD"
Status,28,28,1,Y, ,Left,A,,Alpha,0,,,1,1,^[AIP]$,A|I|P,"Status: A=Active I=Inactive P=Pending"
Account Number,29,38,10,Y,0,Right,,RemoveLeadingZeroes(Column5),Alphanumeric,0,,,6,10,^\d+$,,"Account number 6-10 digits"
Customer Name,39,68,30,Y, ,Left,,,Alpha,0,,,1,30,,,"Customer full name"
Email,69,118,50,N, ,Left,,,Alphanumeric,0,,,5,50,^[^@]+@[^@]+\.[^@]+$,,"Email address (optional)"
Phone,119,128,10,N, ,Left,,,Numeric,0,,,10,10,^\d{10}$,,"Phone number 10 digits"
Zip Code,129,133,5,N,0,Right,,,Numeric,0,,,5,5,^\d{5}$,,"5-digit zip code"
Quantity,134,143,10,N,0,Right,0,,Numeric,0,0,9999999,,,,,"Quantity (whole numbers)"
